zip_code,CBSA Title,MSA_central_outlying,pct_black_alone,pop_black_alone,pct_below_poverty,pct_below_poverty_white_alone,pct_below_poverty_black_alone,pct_below_poverty_asian_alone,pct_below_poverty_hispanic,quartiles_pct_below_poverty,pct_change_16_to_21_pct_below_poverty_black_alone,pct_homeownership,pct_homeownership_white_alone,pct_homeownership_black_alone,pct_homeownership_asian_alone,pct_homeownership_hispanic,quartiles_pct_homeownership,pct_change_16_to_21_pct_homeownership_black_alone,Total_All_loans,Total_Female Owned_loans,Total_Male Owned_loans,Total_Unanswered_loans,White_All_loans,White_Female Owned_loans,White_Male Owned_loans,White_Unanswered_loans,Black_All_loans,Black_Female Owned_loans,Black_Male Owned_loans,Black_Unanswered_loans,Hispanic_All_loans,Hispanic_Female Owned_loans,Hispanic_Male Owned_loans,Hispanic_Unanswered_loans,Asian_All_loans,Asian_Female Owned_loans,Asian_Male Owned_loans,Asian_Unanswered_loans,Total_All_loan_amnt,Total_Female Owned_loan_amnt,Total_Male Owned_loan_amnt,Total_Unanswered_loan_amnt,White_All_loan_amnt,White_Female Owned_loan_amnt,White_Male Owned_loan_amnt,White_Unanswered_loan_amnt,Black_All_loan_amnt,Black_Female Owned_loan_amnt,Black_Male Owned_loan_amnt,Black_Unanswered_loan_amnt,Hispanic_All_loan_amnt,Hispanic_Female Owned_loan_amnt,Hispanic_Male Owned_loan_amnt,Hispanic_Unanswered_loan_amnt,Asian_All_loan_amnt,Asian_Female Owned_loan_amnt,Asian_Male Owned_loan_amnt,Asian_Unanswered_loan_amnt,pct_hh_with_broadband_internet_subscriptions,pct_hh_with_broadband_internet_subscriptions_white_alone,pct_hh_with_broadband_internet_subscriptions_black_alone,pct_hh_with_broadband_internet_subscriptions_asian_alone,pct_hh_with_broadband_internet_subscriptions_hispanic,quartiles_pct_hh_with_broadband_internet_subscriptions,pct_bach_degree_or_higher_white_alone,pct_bach_degree_or_higher_black_alone,pct_bach_degree_or_higher_asian_alone,pct_bach_degree_or_higher_hispanic,quartiles_pct_bach_degree_or_higher_white_alone,quartiles_pct_bach_degree_or_higher_black_alone,quartiles_pct_bach_degree_or_higher_asian_alone,quartiles_pct_bach_degree_or_higher_hispanic,total_population,median_age_all,median_age_white,median_age_black,avg_hhd_sz_all,avg_hhd_sz_ownocc,avg_hhd_sz_renter,median_hhd_inc_all,median_hhd_inc_white,median_hhd_inc_black,median_hhd_inc_hisp,median_gross_rent,med_gr_rent_pct_hhd_inc,vcnthouse_value_q1,vcnthouse_value_median,vcnthouse_value_q3,race_pct_white,race_pct_black,race_pct_amerind_aknat,race_pct_asian,race_pct_pacisld,race_pct_other,race_pct_twoplus,ethnicity_pct_hisp,geomob_same_house_1yr_all,geomob_same_house_1yr_white,geomob_same_house_1yr_black,geomob_moved_in_county_1yr_all,geomob_moved_in_county_1yr_white,geomob_moved_in_county_1yr_black,geomob_moved_diff_state_1yr_all,geomob_moved_diff_state_1yr_white,geomob_moved_diff_state_1yr_black,occupied_housing_pct_pop,occupied_owner_pct_pop,occupied_renter_pct_pop,hhd_pct_no_vehicle,hhd_4plus_no_vehicle,houseburden_over30pct_inc_renters,houseburden_over30pct_inc_own_mrtg,houseburden_over30pct_inc_own_nomrtg,houseburden_over30pct_inc_all,edu_pop_no_hs_diploma,edu_pop_bach_degree_plus,edu_pop_grad_degree_plus,hhd_comp_pct_married,hhd_comp_pct_married_chldrn,hhd_comp_pct_sgl_prnt,pop_pct_65over,pop_below_poverty_all,pop_below_poverty_white,pop_below_poverty_black,pop_over65_live_alone,pop_pct_disability,hhd_pct_food_assist,hhd_chld_pct_food_assist,hhd_sglprt_pct_food_assist,pop_pct_medicaid,pop_pct_no_hltinsur,supermarkets,ConvenienceStore,AlcoholStore,PhysicianOffice,MentalHlthSpecialist,MentalHlthPractice,ChildcareFacility,fast_food,BINGE,BPHIGH,BPMED,CHECKUP,COREM,COREW,CSMOKING,DENTAL,DEPRESSION,DIABETES,GHLTH,LPA,MHLTH,OBESITY,PHLTH,SLEEP,NatWalkInd_zip,calc_mhv_to_mhi_all,calc_mhv_to_mhi_white,calc_mhv_to_mhi_black,calc_mhv_to_mhi_hisp,calc_houseburden_renter_salary_need,calc_houseburden_renter_salary_gap_white,calc_houseburden_renter_salary_gap_black,median_hhd_inc_white_PctChg,median_hhd_inc_black_PctChg,median_gross_rent_PctChg,vcnthouse_value_median_PctChg,houseburden_over30pct_inc_renters_Chg,houseburden_over30pct_inc_all_Chg,pop_below_poverty_all_Chg,pop_below_poverty_white_Chg,pop_below_poverty_black_Chg,calc_mhv_to_mhi_all_Chg,calc_mhv_to_mhi_white_Chg,calc_mhv_to_mhi_black_Chg,calc_houseburden_renter_salary_need_PctChg,lila_res
37010,"Clarksville, TN-KY",Central,8.4,453,9.5,8.7,15,0,4.9,26-50% of geographies,-10.4,94.5,93.4,99.5,,99.3,Top 25% of geographies,-0.5,248,16,78,154,48,4,44,,2,,,2,8,4,4,,,,,,8647099,127588,4788120,3731392,4206512,68680,4137833,,41666,,,41666,90588,28908,61680,,,,,,90.9,91.8,88.1,100,80.5,51-75% of geographies,38.6,28.3,100,50.5,Top 25% of geographies,51-75% of geographies,Top 25% of geographies,Top 25% of geographies,5096,41.1,40.2,49.6,2.92,2.89,3.29,93794,97375,,77226,2016,25.4,207100,269500,384800,0.86244113,0.086930926,0.000588697,0.003924647,0.011970173,0.003924647,0.03021978,0.080651491,0.910498115,0.905947441,0.948081264,0.035126017,0.040802213,0,0.033141496,0.028584601,0.051918736,0.996271586,0.910577112,0.089422888,0.062788018,0,0.130434783,0.219909502,0.204868154,0.208525346,0.095238095,0.379396203,0.16215375,0.667050691,0.275345622,0.076612903,0.116954474,0.048292108,0.051445481,0.045146727,0.414965986,0.133667335,0.082949309,0.035138249,0.010368664,0.117034068,0.048697395,,,,,,,,,0.156,0.333,0.732,0.733,0.369,0.363,0.201,0.657,0.265,0.097,0.128,0.217,0.162,0.341,0.095,0.349,5.051855782,2.873318123,2.767650834,,3.489757336,80640,16735,,0.263592951,,1.117647059,0.151709402,-0.393955461,0.027623489,-0.054667533,-0.041659999,-0.204853273,-0.223230681,-0.268865218,,1.117647059,0
37012,,Outlying,3.3,68,7.4,4.6,82.4,0,11.5,26-50% of geographies,33.5,79.1,81.6,42,,0,51-75% of geographies,-33.8,184,10,38,136,26,4,22,,,,,,,,,,,,,,6741978,87318,1826520,4828140,121234,23852,97382,,,,,,,,,,,,,,84.6,83.9,94.1,100,88.5,26-50% of geographies,11.7,0,100,0,Bottom 25% of geographies,Bottom 25% of geographies,Top 25% of geographies,Bottom 25% of geographies,1954,45.1,45.6,16.2,2.32,2.44,1.82,49883,55087,,,432,23.8,104300,143800,231000,0.933981576,0.029170931,0,0.007676561,0,0.023029683,0.006141249,0.023541453,0.94921466,0.953307393,1,0.018324607,0.019455253,0,0.002617801,0.002779322,0,1,0.843909928,0.156090072,0.09489917,0,0.357142857,0.161879896,0.078767123,0.172004745,0.142465753,0.110273973,0.012328767,0.533807829,0.170818505,0.046263345,0.201637666,0.078812692,0.051506849,0.824561404,0.274111675,0.129477994,0.129300119,0.056939502,0.046263345,0.185261003,0.09877175,,,,,,,,,0.143,0.392,0.766,0.746,0.371,0.336,0.238,0.569,0.267,0.121,0.169,0.257,0.169,0.38,0.12,0.343,4.440015943,2.882745625,2.610416251,,,17280,37807,,0.222037357,,-0.409028728,0.287376902,-0.078108941,-0.02736895,-0.035615169,-0.050886246,0.434317501,0.387102388,0.132489102,,-0.409028728,0
37013,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,36,36750,17.1,17.1,13.5,22.8,29.5,51-75% of geographies,1.3,56.2,62.3,49.8,74.4,48.6,Bottom 25% of geographies,3,6636,1128,1394,4114,230,78,148,4,1298,666,606,26,148,38,98,12,84,20,54,10,151016526,21775742,41227561,88013222,10305560,1224280,9047532,33750,21486907,10848749,9806497,831662,4553818,519738,3341954,692126,5372572,2380356,1242648,1749568,93.4,94.1,92.6,94.7,91.7,51-75% of geographies,29.7,32.6,24.5,10.1,51-75% of geographies,51-75% of geographies,26-50% of geographies,26-50% of geographies,99109,31.8,32.9,31.3,2.73,2.88,2.54,60602,61507,59078,53104,1182,28.6,158100,205800,263300,0.524483145,0.350533251,0.000787012,0.040167896,0,0.042165696,0.041862999,0.179620418,0.836579465,0.829423265,0.83109708,0.099065114,0.085591398,0.122453156,0.031388388,0.045102639,0.017510012,0.997467435,0.589046916,0.410953084,0.028439683,0.00789166,0.441349157,0.271190534,0.087016195,0.327884695,0.121884904,0.313512557,0.092378976,0.419361074,0.221691471,0.081039291,0.065150491,0.16030395,0.189518386,0.116406114,0.261184625,0.098563064,0.104812657,0.067261231,0.023580087,0.228413101,0.157314619,10,7,7,15,,,6,39,0.169,0.305,0.689,0.724,0.313,0.357,0.216,0.551,0.246,0.098,0.153,0.237,0.177,0.343,0.095,0.367,7.958652107,3.395927527,3.345960622,3.483530248,3.875414281,47280,14227,11798,0.161495609,0.294803515,0.364896074,0.394308943,-0.002436643,-0.031205802,0.024491167,0.035944281,0.013561859,0.347789246,0.55868841,0.24860356,0.364896074,0.284910238
37014,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,0.4,11,7.4,7.2,0,,0,26-50% of geographies,,98,97.9,98,,98,Top 25% of geographies,,166,26,42,98,38,22,16,,,,,,6,2,4,,,,,,9481836,1582596,2169430,5729810,2865866,1535996,1329870,,,,,,55000,5000,50000,,,,,,97.4,97.3,100,,100,Top 25% of geographies,29.5,54.5,,100,51-75% of geographies,Top 25% of geographies,,Top 25% of geographies,2858,50.5,50.4,,2.25,2.25,2.21,123137,122525,,,,,417200,549700,713500,0.963960812,0.00349895,0,0,0,0,0.032540238,0.011196641,0.848956491,0.871145374,1,0.064732932,0.067180617,0,0.086310577,0.061674009,0,1,0.978306508,0.021693492,0,0,0.75,0.229457364,0.11092437,0.18533123,0.067056706,0.465346535,0.152565257,0.6829653,0.17192429,0,0.210286914,0.103266596,0.107142857,0,0.391014975,0.128761372,0.02444795,0.014984227,0,0.056682995,0.037788663,,,,,,,,,0.154,0.351,0.754,0.747,0.417,0.418,0.158,0.654,0.237,0.098,0.114,0.187,0.14,0.326,0.089,0.312,4.247782012,4.464133445,4.486431341,,,,,,0.474996389,,,0.338772528,0.517857143,0.079809758,0.088922334,0.091161122,,-0.224901112,-0.456506975,,,0
37015,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,1.9,364,10.8,10.4,21.2,0,17.1,51-75% of geographies,10.4,74.6,75.7,64.5,,54.7,26-50% of geographies,33.3,704,88,150,466,132,56,72,4,12,,12,,4,,4,,,,,,40969189,2397262,4783707,33788220,5451574,1813970,3522440,115164,181636,,181636,,19196,,19196,,,,,,86.6,87,89.5,100,67.6,26-50% of geographies,18.4,15.8,100,12.9,26-50% of geographies,51-75% of geographies,Top 25% of geographies,26-50% of geographies,17835,41.5,43,39.6,2.56,2.56,2.56,59144,59005,38977,60711,984,24.7,117500,175400,265000,0.92195122,0.017886179,0.007289038,0.005719092,0,0.014746285,0.032408186,0.056069526,0.843974439,0.849671598,0.761755486,0.065486626,0.066171506,0.106583072,0.024260589,0.026333558,0,0.979590692,0.732070288,0.267929712,0.024923032,0.00606878,0.325492341,0.258942703,0.088876772,0.231051166,0.161856567,0.164465881,0.0524235,0.500513121,0.152763524,0.073742853,0.16097561,0.116144219,0.110482115,0.248148148,0.250736377,0.174047197,0.091042369,0.060255095,0.037531154,0.189932004,0.106565339,3,,,5,,,,13,0.153,0.368,0.751,0.735,0.338,0.337,0.241,0.567,0.269,0.115,0.166,0.255,0.174,0.359,0.117,0.35,5.11718718,2.965643176,2.972629438,4.500089797,2.889097528,39360,19645,-383,0.241322001,0.087072933,0.062634989,0.254649499,-0.137176677,-0.060306126,-0.019841134,-0.030148505,0.179491432,0.007100861,0.031576718,0.601052005,0.062634989,0
37016,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,0,0,6,5.9,,,0,26-50% of geographies,,84.4,84.4,,,,51-75% of geographies,,42,,,42,,,,,,,,,,,,,,,,,482718,,,482718,,,,,,,,,,,,,,,,,83.4,84.4,,,33.3,26-50% of geographies,14.8,,,100,26-50% of geographies,,,Top 25% of geographies,955,53.8,53.9,,2.3,2.21,2.94,59714,59714,,,879,18.3,108700,178700,445700,0.989528796,0,0,0,0.002094241,0.005235602,0.003141361,0.006282723,0.889589905,0.888416578,,0.039957939,0.040382572,,0.031545741,0.031880978,,1,0.855497382,0.144502618,0.002403846,0,0.127659574,0.100502513,0.076470588,0.09375,0.083437111,0.175591532,0.069738481,0.689903846,0.098557692,0.033653846,0.235602094,0.096842105,0.095744681,,0.368888889,0.118324607,0.050480769,0.021634615,0.009615385,0.079581152,0.047120419,,,,,,,,,0.136,0.417,0.785,0.753,0.367,0.321,0.256,0.535,0.27,0.138,0.197,0.284,0.171,0.366,0.137,0.342,4.56378836,2.992598051,2.992598051,,,35160,24554,,0.104526201,,0.178284182,0.14993565,-0.022000289,-0.168154762,0.017105456,0.015597622,,0.090203669,0.118173768,,0.178284182,0
37018,"Tullahoma-Manchester, TN",Central,0.3,7,24.8,22.7,0,0,100,Top 25% of geographies,,81.2,85,,0,0,51-75% of geographies,,100,20,24,56,34,16,18,,,,,,,,,,,,,,1314951,176156,345630,793166,278336,94850,183486,,,,,,,,,,,,,,87.1,89.3,100,100,100,26-50% of geographies,11.6,100,58.2,,Bottom 25% of geographies,Top 25% of geographies,51-75% of geographies,,2494,49.2,50.9,,2.74,2.76,2.63,50694,51852,,,1076,41.3,60500,99500,221700,0.91659984,0.003207698,0.001603849,0.032477947,0,0,0.046110666,0.013632719,0.852044908,0.867891514,1,0.02606255,0.028433946,0,0,0,0,1,0.811948677,0.188051323,0.006586169,0,0.353932584,0.143678161,0.012987013,0.129527991,0.180396873,0.165965123,0.05171377,0.625686059,0.153677278,0,0.160384924,0.168825911,0.155730534,0,0.155,0.306736167,0.181119649,0.03402854,0,0.311948677,0.115076183,,,,,,,,,0.142,0.42,0.782,0.755,0.308,0.327,0.256,0.533,0.279,0.137,0.198,0.281,0.173,0.391,0.136,0.34,3.226143659,1.962756934,1.918923089,,,43040,8812,,0.412053049,,0.24106113,0.647350993,-0.331656935,-0.212937762,-0.075319796,-0.057511475,,0.28907039,0.274087708,,0.24106113,0
37019,"Lewisburg, TN",Central,3.9,31,3,3.2,0,,0,Bottom 25% of geographies,-28.8,59.8,54.5,99.6,,,Bottom 25% of geographies,-0.4,38,,2,36,,,,,,,,,2,,2,,,,,,1028060,,41664,986396,,,,,,,,,41664,,41664,,,,,,91,93.3,35.5,,100,51-75% of geographies,8.9,64.5,,0,Bottom 25% of geographies,Top 25% of geographies,,Bottom 25% of geographies,676,34.6,34.3,,2.9,2.53,3.59,39453,38828,,,754,27.2,109800,158800,175500,0.98816568,0.01183432,0,0,0,0,0,0.082840237,0.859467456,0.869760479,0,0.118343195,0.119760479,0,0,0,0,1,0.565088757,0.434911243,0,0,0,0,0.08045977,0.030042918,0.082788671,0.078431373,0.047930283,0.545064378,0.321888412,0,0.107988166,0.051775148,0.05239521,0,0.178082192,0.165680473,0.145922747,0,0,0.014792899,0.071005917,,,,,,,,,0.148,0.388,0.771,0.745,0.365,0.335,0.243,0.567,0.263,0.124,0.172,0.262,0.167,0.365,0.123,0.379,3.875273486,4.025042456,4.08983208,,,30160,8668,,-0.240201162,,,0.821100917,0,-0.369079889,-0.022137896,0.01363552,-0.260273973,,2.383474332,,,0.025345622
37020,"Shelbyville, TN",Central,3.6,187,7,7.3,0,14.5,0,26-50% of geographies,0,93.6,92.5,99.4,100,99.1,Top 25% of geographies,34.9,266,36,94,136,62,14,48,,2,,2,,,,,,,,,,8384682,1030554,2385322,4968806,861434,128568,732866,,41664,,41664,,,,,,,,,,91.1,91.2,100,100,100,51-75% of geographies,26,0,35.1,16.9,51-75% of geographies,Bottom 25% of geographies,26-50% of geographies,51-75% of geographies,6036,34.8,38.8,29.7,2.67,2.67,2.65,59094,61083,51310,163031,935,17.4,132700,187500,294500,0.805500331,0.072564612,0.024850895,0.015904573,0,0.013916501,0.067263088,0.026673294,0.883782884,0.866307947,0.99543379,0.057276057,0.070985099,0.002283105,0.02014652,0.024834437,0.002283105,0.983267064,0.905307498,0.094692502,0.012151215,0,0.198113208,0.361368496,0.064250412,0.264626463,0.06376887,0.269911504,0.070015617,0.502250225,0.218271827,0.019351935,0.104705103,0.080339321,0.08200785,0,0.234177215,0.13667992,0.03870387,0.013051305,0.008550855,0.113154407,0.072895958,,,,,,,,,0.157,0.333,0.731,0.743,0.384,0.371,0.204,0.601,0.261,0.099,0.134,0.221,0.162,0.352,0.098,0.342,5.030145132,3.172910955,3.069593831,3.654258429,1.15008802,37400,23683,13910,0.029199663,0.30806098,0.289655172,0.391982183,-0.006432247,0.106615413,-0.017873319,-0.023192862,-0.004545455,0.848493354,0.800006637,0.220311557,0.289655172,0
37022,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,3.7,242,16.3,15.6,55,,2.6,51-75% of geographies,55,87.5,88.7,52.1,,83.7,Top 25% of geographies,-27.8,232,32,94,106,74,12,62,,2,,2,,,,,,,,,,3745288,377902,1527183,1840202,918624,163540,755084,,41664,,41664,,,,,,,,,,85.4,84.6,85.1,,100,26-50% of geographies,17.3,7.9,,34.9,26-50% of geographies,26-50% of geographies,,Top 25% of geographies,6694,38.6,41.2,26.7,2.87,2.72,3.59,61875,61420,62279,,1415,26.3,104300,167900,243500,0.916342994,0.039737078,0.006124888,0.001942038,0,0.011054676,0.024798327,0.037645653,0.936541353,0.938350549,1,0.032932331,0.035907526,0,0.01037594,0.005410723,0,1,0.787869734,0.212130266,0.033447684,0.019639935,0.202531646,0.373963516,0.109439124,0.262006861,0.204753199,0.149451554,0.024223035,0.589622642,0.185248714,0.026157804,0.154167912,0.226006661,0.204928879,0.582706767,0.152131783,0.194793537,0.129931389,0.092624357,0.056603774,0.278725314,0.100239378,,,,,,,,,0.147,0.385,0.764,0.731,0.337,0.366,0.274,0.554,0.276,0.128,0.182,0.286,0.177,0.399,0.13,0.338,3.51373949,2.713535354,2.733637252,2.695932818,,56600,4820,5679,0.241460161,,1.012802276,0.421676545,-0.098543623,0.057935121,0.113853999,0.09248192,0.582706767,0.3585532,0.346524829,,1.012802276,0
37023,"Clarksville, TN-KY",Outlying,0.2,3,11.7,9,0,,39.6,51-75% of geographies,,69.9,69.9,,,,26-50% of geographies,,46,10,16,20,10,,10,,,,,,2,,2,,,,,,2241655,324974,782002,1134680,414738,,414738,,,,,,150200,,150200,,,,,,86.6,86.2,100,,100,26-50% of geographies,13.9,,,0,Bottom 25% of geographies,,,Bottom 25% of geographies,1408,42.4,44.3,,2.72,2.86,2.37,59293,59647,,,1085,19.5,80900,148200,215900,0.918323864,0.004971591,0,0,0,0.012073864,0.064630682,0.114346591,0.980088496,0.978740157,1,0.019911504,0.021259843,0,0,0,0,1,0.744318182,0.255681818,0,0,0.440789474,0.327586207,0.182291667,0.306949807,0.132553606,0.151072125,0.07797271,0.501930502,0.212355212,0.027027027,0.102272727,0.169744318,0.101314772,0,0.270833333,0.235085227,0.069498069,0.044401544,0.027027027,0.161221591,0.104403409,,,,,,,,,0.157,0.348,0.743,0.726,0.375,0.349,0.24,0.569,0.272,0.106,0.154,0.244,0.174,0.367,0.111,0.356,3.655712679,2.499451875,2.484617835,,,43400,16247,,0.699054293,,0.258700696,0.0723589,0.440789474,0.065119742,-0.092310189,-0.089942059,,-1.378431284,-1.452031171,,0.258700696,0
37025,,Outlying,0.4,19,13.4,13,0,,0,51-75% of geographies,,94.5,94.5,,,100,Top 25% of geographies,,224,14,60,150,68,14,50,4,,,,,,,,,,,,,4941280,115596,1745528,3080156,1285906,115596,1091462,78848,,,,,,,,,,,,,81.4,81.6,0,,100,Bottom 25% of geographies,14.5,0,,100,26-50% of geographies,Bottom 25% of geographies,,Top 25% of geographies,5923,41.1,41.2,,2.85,2.84,3,51595,51078,,,731,40.3,86000,136600,201300,0.985817998,0.003039001,0,0.009792335,0,0,0.001350667,0,0.950059656,0.949334256,1,0.031361854,0.031817396,0,0.004942901,0.005014698,0,1,0.881310147,0.118689853,0.026506024,0.078358209,0.525641026,0.331688055,0.103864734,0.262650602,0.166788588,0.097781029,0.033162643,0.561927711,0.186024096,0.063614458,0.148404525,0.187911531,0.190614831,0,0.144482366,0.13759919,0.084819277,0.04,0.034216867,0.171872362,0.110248185,,,,,,,,,0.145,0.382,0.758,0.738,0.361,0.343,0.267,0.519,0.282,0.124,0.19,0.286,0.184,0.373,0.131,0.354,3.999980829,2.647543367,2.674341204,,,29240,21838,,0.009845789,,-0.030503979,0.307177033,0.147380156,0.037086693,0.015394728,0.013874204,,0.57161814,0.608307198,,-0.030503979,0.000322373
37026,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,0,0,16.4,16.6,,,0,51-75% of geographies,,85.6,87,,,0,51-75% of geographies,,72,10,22,40,28,10,18,,,,,,,,,,,,,,4999395,123274,4113656,762466,925539,123274,802266,,,,,,,,,,,,,,91.3,92.5,,,73.1,51-75% of geographies,14.5,,,0,26-50% of geographies,,,Bottom 25% of geographies,2117,41.2,42.1,,2.44,2.52,2.1,51354,50313,,,622,51,96300,159000,252600,0.985829003,0,0,0,0,0.010392064,0.003778932,0.062352385,0.948424069,0.947674419,,0.025310411,0.025678295,,0,0,,1,0.833254606,0.166745394,0.032220944,0,0.553571429,0.235820896,0.095628415,0.238204833,0.206499661,0.152335816,0.060934326,0.46260069,0.17146145,0.029919448,0.188001889,0.105810109,0.105414471,,0.359296482,0.147378366,0.155350978,0.020713464,0.01150748,0.243741143,0.109589041,,,,,,,,,0.155,0.366,0.76,0.732,0.404,0.355,0.239,0.553,0.266,0.114,0.163,0.251,0.171,0.351,0.116,0.338,3.956152918,3.096156093,3.160217041,,,24880,25433,,0.33743587,,0.162616822,0.428571429,0.017857143,-0.138345336,-0.022290929,-0.015136075,,0.012541088,0.201605701,,0.162616822,0
37027,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,3.9,2392,3.6,3.3,13.1,2.2,2.2,Bottom 25% of geographies,7.6,82.7,83.8,59.3,78.4,69.4,51-75% of geographies,-33,7206,726,1436,5044,842,312,512,18,96,48,48,,44,20,24,,128,42,74,12,722871170,44036887,141765076,537069207,62590928,17051040,44173931,1365958,3383370,2085226,1298144,,6475304,4664318,1810986,,14144145,1922846,11668222,553078,98.2,98,98.9,100,98.1,Top 25% of geographies,73.9,79.8,82.6,68.5,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies,57096,41.8,42.8,38.1,2.77,2.89,2.14,133254,140550,101076,140787,1621,28.1,452700,627700,839400,0.856539863,0.038041194,0.001313577,0.068761384,0,0.004133389,0.031210593,0.037533277,0.888047717,0.902862081,0.755442334,0.05140558,0.044834468,0.210745716,0.025111617,0.022715582,0.013432145,0.998231049,0.870479867,0.129520133,0.018148292,0.003604785,0.437174291,0.229508197,0.098834174,0.227872671,0.015837164,0.760449605,0.315813249,0.686335404,0.318031832,0.033676242,0.147505955,0.031826325,0.022394028,0.133209991,0.208492366,0.059985267,0.005774457,0.001116071,0.000873447,0.030185568,0.031237942,8,,7,124,9,8,7,66,0.157,0.319,0.767,0.75,0.431,0.442,0.11,0.722,0.217,0.085,0.084,0.147,0.123,0.276,0.07,0.289,7.549391776,4.710552779,4.466026325,6.21017848,4.458508243,64840,75710,36236,0.199846338,-0.328956017,0.226172466,0.376535088,0.042103055,0.008207399,-0.002192662,-0.01101891,0.07537133,0.896887144,0.573248453,3.182792587,0.226172466,0
37028,"Clarksville, TN-KY",Outlying,0.6,2,0.9,0.3,100,,0,Bottom 25% of geographies,95.7,92.8,92.8,,,,Top 25% of geographies,,18,4,12,2,2,,2,,,,,,,,,,,,,,400152,73532,298378,28242,41664,,41664,,,,,,,,,,,,,,100,100,,,,Top 25% of geographies,40.8,0,,0,Top 25% of geographies,Bottom 25% of geographies,,Bottom 25% of geographies,434,48.3,48.3,,1.64,1.87,,80489,80489,,,,,98000,201400,245200,0.99078341,0.002304147,0,0.002304147,0,0.002304147,0.002304147,0.002304147,0.838709677,0.844186047,0,0.15437788,0.153488372,1,0.002304147,0.002325581,0,0.988479263,0.841491841,0.158508159,0,0,0,0,0,0,0,0.428115016,0.242811502,0.409961686,0.14559387,0,0.290322581,0.006912442,0.002325581,1,0.682539683,0.147465438,0,0,0,0.094470046,0.073732719,,,,,,,,,0.144,0.392,0.784,0.747,0.386,0.333,0.232,0.575,0.263,0.125,0.169,0.256,0.165,0.37,0.121,0.35,3.655712679,2.50220527,2.50220527,,,,,,0.566025254,,,0.936538462,-1,-0.28440367,-0.183219928,-0.196826961,0.961538462,0.232107263,0.478740866,,,0
37029,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,1,69,3.2,3.2,24.6,0,5.1,Bottom 25% of geographies,2.7,93.6,93.9,67.6,93.6,100,Top 25% of geographies,-31.8,278,20,80,178,54,6,48,,2,,2,,4,4,,,,,,,14871929,1868502,4644276,8359152,1323746,68038,1255710,,25874,,25874,,1602654,1602654,,,,,,,92.3,91.8,100,100,100,51-75% of geographies,29.6,0,100,44.8,51-75% of geographies,Bottom 25% of geographies,Top 25% of geographies,Top 25% of geographies,7166,41.4,41,56.4,2.8,2.8,2.79,84848,84863,,,840,22.9,180500,243100,350700,0.971950879,0.00655875,0,0.000976835,0,0.005023723,0.015489813,0.044655317,0.922341024,0.920081077,1,0.020118177,0.020703634,0,0.003095104,0.003185174,0,0.984510187,0.934372785,0.065627215,0.010722796,0.011560694,0.192771084,0.173130194,0.061674009,0.134233519,0.06700627,0.266261755,0.07072884,0.698173153,0.213661636,0.018665608,0.157270444,0.044661549,0.045519816,0.063829787,0.186932849,0.141641083,0.035742653,0.029388403,0.013105639,0.114987441,0.062936087,,,,,,,,,0.15,0.351,0.754,0.728,0.391,0.371,0.214,0.62,0.258,0.103,0.138,0.229,0.163,0.35,0.103,0.342,5.054394537,2.865123515,2.864617089,,,33600,51263,,0.173307709,,0.07830552,0.114626318,-0.04014817,-0.062369672,-0.011370573,-0.008518864,-0.074468085,-0.210736414,-0.15081262,,0.07830552,0
37030,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,3.8,297,17,16.2,52,0,35.9,51-75% of geographies,19.7,70.4,72.8,27.4,0,76.8,26-50% of geographies,6.3,504,60,116,328,126,44,82,,,,,,6,6,,,2,,2,,20473170,1066696,5394687,14011788,3514168,768974,2745192,,,,,,89062,89062,,,55400,,55400,,84.5,85.8,41.8,100,64.1,26-50% of geographies,19.6,14.6,39.6,0,26-50% of geographies,26-50% of geographies,26-50% of geographies,Bottom 25% of geographies,7674,40.6,40.9,21.1,2.42,2.51,2.22,44531,45339,,,599,22.1,102900,165500,249700,0.91555903,0.046651029,0.004691165,0.002736513,0,0.015506906,0.014855356,0.043523586,0.892006353,0.896242775,0.832402235,0.069878242,0.067196532,0.117318436,0.010455267,0.011416185,0,0.973807662,0.725679111,0.274320889,0.056689342,0,0.286486486,0.332417582,0.091588785,0.235179786,0.177544248,0.163163717,0.047566372,0.495302883,0.162293489,0.080984775,0.171488142,0.19229737,0.163681375,0.557324841,0.366013072,0.206449023,0.160997732,0.079365079,0.055717525,0.261439657,0.090982071,3,3,,5,,,3,4,0.138,0.399,0.781,0.743,0.334,0.313,0.261,0.516,0.275,0.133,0.199,0.297,0.18,0.379,0.137,0.365,6.282184752,3.716512093,3.650279009,,,23960,21379,,0.144519614,,0.42280285,0.465899026,-0.062237693,-0.006423681,0.01552094,-0.010290304,0.27977382,0.82830539,0.800276485,,0.42280285,0.401029748
